sep=,
Result 3|time [s] Case 1,Result 3|weaDat.weaBus.TDryBul Case 1,Result 3|zonHVAC.TAir [K] Case 1,Result 1|time [s] Case 1,Result 1|weaDat.weaBus.TDryBul Case 1,Result 1|zonHVAC.TAir [K] Case 1
0,260.95,293.15,0,260.95,293.15
2678.4,260.8787664639999,291.3180660340942,2678.4,260.8787664639999,289.6308805719066
5356.8,261.1777972169698,290.9247697202062,5356.8,261.1777972169698,289.10645926732565
8035.200000000001,261.58586972858166,290.55571480204657,8035.200000000001,261.58586972858166,288.62277237770303
10713.6,262.03785551825473,290.2024887428635,10713.6,262.03785551825473,288.1647335640945
13392,262.03863709090905,289.8394335872227,13392,262.03863709090905,287.6851679342822
16070.400000000001,262.30940265890877,289.4866814042364,16070.400000000001,262.30940265890877,287.2252041285794
18748.8,262.54999999999995,289.1530662647821,18748.8,262.54999999999995,286.79670370268457
21427.2,262.54999999999995,288.8088589414858,21427.2,262.54999999999995,286.34792497152284
24105.600000000002,262.54999999999995,288.4698851816543,24105.600000000002,262.54999999999995,285.90820346391206
26784,262.71207736470586,288.15632312668754,26784,262.71207736470586,285.5023946460997
28800,263.15,288.0674900900624,28800,263.15,285.3581370806313
28800,263.15,288.0674900900624,28800,263.15,285.3581370806313
29462.4,263.2975674111996,287.93563680641665,29462.4,263.2975674111996,285.2116986253916
32140.800000000003,264.1351406938356,288.1074365774012,32140.800000000003,264.1351406938356,285.317844173229
34819.200000000004,265.7626967295995,288.50894598241996,34819.200000000004,265.7626967295995,285.68225750009447
37497.6,267.15720000000067,289.00355747915427,37497.6,267.15720000000067,286.141122984954
40176,268.42199999999997,289.48174723211685,40176,268.42199999999997,286.5786373270753
42854.4,269.68679999999927,289.7969355677498,42854.4,269.68679999999927,286.8660791619638
45532.8,270.61097387520016,289.84316348133405,45532.8,270.61097387520016,286.89148122823366
48211.200000000004,271.4839704831997,289.80740712654057,48211.200000000004,271.4839704831997,286.8377237472967
50889.6,272.04999999999995,289.7627831900838,50889.6,272.04999999999995,286.776596458173
53568,272.04999999999995,289.65192687742945,53568,272.04999999999995,286.6199144347011
56246.4,272.04999999999995,289.45899510652754,56246.4,272.04999999999995,286.3859278763161
58924.8,272.04999999999995,289.2185933635392,58924.8,272.04999999999995,286.10981486982814
61603.200000000004,272.0354863639273,288.97173712405936,61603.200000000004,272.0354863639273,285.83006057018605
64281.600000000006,271.54417235549056,288.7049162841624,64281.600000000006,271.54417235549056,285.5117681880318
64800,271.45,288.6514079969618,64800,271.45,285.4471153959792
64800,271.45,288.6514079969618,64800,271.45,285.4471153959792
66960,271.1302181818182,288.661392036718,66960,271.1302181818182,285.40387709644574
69638.40000000001,271.1801122454343,288.45085165824975,69638.40000000001,271.1801122454343,285.15256731791305
72316.8,272.04555854931226,288.31029606905383,72316.8,272.04555854931226,285.0270932902705
74995.2,271.48610202747597,288.09967110025434,74995.2,271.48610202747597,284.7676715823329
77673.6,271.8567200035314,287.9208804149683,77673.6,271.8567200035314,284.5708252385746
80352,271.9024416,287.753797258025,80352,271.9024416,284.39007859070387
83030.40000000001,271.42952920395305,287.54685171731217,83030.40000000001,271.42952920395305,284.1366965537927
85708.8,271.4808620959855,287.3644758650501,85708.8,271.4808620959855,283.93118703696194
86400,271.45,287.318128653344,86400,271.45,283.87904283710105
86400,271.45,287.318128653344,86400,271.45,283.87904283710105
88387.2,270.18103629017713,287.1313703014796,88387.2,270.18103629017713,283.6299203439765
91065.6,269.4475003102791,286.86159109730943,91065.6,269.4475003102791,283.2766674745941
93744,270.3428391229236,286.71893372446607,93744,270.3428391229236,283.15477700151973
96422.40000000001,269.8957444197211,286.51279318354506,96422.40000000001,269.8957444197211,282.9103000882841
99100.8,270.00510447542865,286.32249839736994,99100.8,270.00510447542865,282.6980991899375
