sep=,
Result 1|time [s] Case 1,Result 1|heatEnergy.y Case 1
0,0
2678.4,5.087219698061992
5356.8,10.295213741569885
8035.200000000001,15.503207515777863
10713.6,20.71120153761405
13392,25.919197416031476
16070.400000000001,30.239992148537453
18748.8,33.77489726425837
21427.2,37.303549326023955
24105.600000000002,40.83832343312535
26784,44.3579235282598
28800,46.835304271597394
28800,46.835304271597394
29462.4,47.656653579097
32140.800000000003,50.343106057257465
34819.200000000004,51.926516244652
37497.6,52.44096290339605
37829.538499102775,52.446546190575816
37829.538499102775,52.446546190575816
37833.11627658897,52.44654619057578
37833.11627658897,52.44654619057578
40176,52.44654619057578
42854.4,52.44654619057578
45532.8,52.44654619057578
48211.200000000004,52.44654619057578
50889.6,52.60314141886652
53568,53.221181134191
56246.4,54.3201093010239
58924.8,55.8620018624278
61603.200000000004,57.7455210215021
64281.600000000006,59.909960413051955
64800,60.36246869555059
64800,60.36246869555059
66960,61.99791292040414
69638.40000000001,64.19531643766169
72316.8,66.31717062221536
74995.2,68.5058773110611
77673.6,70.79520091351462
80352,73.02289527299664
83030.40000000001,75.36239056582077
85708.8,77.75897787144736
86400,78.37567465554385
86400,78.37567465554385
88387.2,80.23661534326091
91065.6,83.06322084064162
93744,85.71697004649833
96422.40000000001,88.3216462882294
99100.8,90.96925770992821
101779.2,93.51290199824408
104457.6,95.78665886571807
107136,97.9738903307786
109814.40000000001,100.1922177226957
112492.8,102.35911975465548
115171.2,104.53990623297207
115200,104.56322918937256
115200,104.56322918937256
117849.6,107.04079827791323
120528,109.29899139995582
123206.40000000001,111.30591005457244
125884.8,113.052781379255
128563.20000000001,114.63268647851612
131241.6,116.14063229037276
133920,117.60590941167058
136598.4,119.26161043325125
139276.80000000002,121.18894351350511
141955.2,123.20963157941469
144633.6,125.14126195082802
147312,127.14226184746708
149990.4,129.3650057106398
151200,130.47165951563522
151200,130.47165951563522
152668.80000000002,131.58160425209644
155347.2,133.47629884724182
158025.6,135.33476568943993
160704,137.1717993616324
163382.4,138.96858415775364
166060.80000000002,140.73309582886336
168739.2,142.75757546291882
171417.6,145.03985691667756
172800,146.205108043512
172800,146.205108043512
174096,147.29110996537153
176774.4,149.52073033618953
179452.80000000002,151.7354414864714
182131.2,153.9135223253829
184809.6,155.99255197747965
187488,158.14624430590936
190166.4,160.46739862931224
192844.80000000002,162.94726906804937
195523.2,165.56891957872588
198201.6,168.31914838011397
200880,171.05760238980642
201600,171.75855773273793
201600,171.75855773273793
203558.4,173.954478356553
206236.80000000002,176.89382287585929
208915.2,179.55838814857177
211593.6,181.90398835767712
214272,184.01181306695847
216950.4,185.94813297297532
219628.80000000002,187.7528197900848
222307.2,189.51841513462398
224985.6,191.32517572010684
227664,193.24729254426802
230342.4,195.3237604030506
233020.80000000002,197.58925687448237
235699.2,200.03731229177941
237600,201.84908839688
237600,201.84908839688
238377.6,202.4823323832225
241056,204.72624977285886
243734.4,207.06591372517687
246412.80000000002,209.47125430504852
249091.2,211.9211966205596
251769.6,214.40129772246743
254448,216.90182052213083
257126.40000000002,219.41620066232343
259200,221.36933222464074
259200,221.36933222464074
259804.80000000002,221.9398565476236
262483.2,224.4698408152943
265161.60000000003,227.004177256646
267840,229.54152867759723
270518.4,232.081205080631
273196.8,234.6798876510835
275875.2,237.3252666692079
278553.60000000003,239.95886740406084
281232,242.58413130372776
283910.4,245.15545956300954
286588.8,247.64788342118464
288000,248.92952163776994
288000,248.92952163776994
289267.2,250.23280310762829
291945.60000000003,252.80376396609077
294624,255.1296126265462
297302.4,257.2410888299639
299980.8,259.22234159935914
302659.2,261.04110011269813
305337.60000000003,262.7297324093753
308016,264.3753465709809
310694.4,266.0924042754256
313372.8,267.9537373441833
316051.2,269.968133293794
318729.60000000003,272.1848493240415
321408,274.8123409852496
324000,277.597140006067
324000,277.597140006067
324086.4,277.6895456516367
326764.8,280.340872929042
329443.2,283.1854196059404
332121.60000000003,286.0221149812184
334800,288.7545676464152
337478.4,291.4875081737903
340156.8,294.36643263696334
342835.2,297.4155644130702
345513.60000000003,300.61493268200746
345600,300.72046383202826
345600,300.72046383202826
348192,303.8953927174771
350870.4,307.0862116267769
353548.8,310.1653180588851
356227.2,313.25837574848197
358905.60000000003,316.5082931374651
361584,320.0715905639591
364262.4,324.11332161986786
366940.8,328.4753009180526
369619.2,332.96555559251044
372297.60000000003,337.33461601776435
374400,340.37520372273684
374400,340.37520372273684
374976,341.203058349674
377654.4,344.56348940209733
380332.8,346.7737270026857
383011.2,347.732959412774
384260.6017558927,347.8281117512952
384260.6017558927,347.8281117512952
384264.0212326832,347.8281117512952
384264.0212326832,347.8281117512952
385689.60000000003,347.8281117512952
388368,347.8281117512952
391046.4,347.8281117512952
393724.8,347.8281117512952
396403.2,347.8281117512952
399081.60000000003,347.8281117512952
401760,347.8281117512952
404438.4,347.8281117512952
407116.8,348.06001087439483
409795.2,349.2584797316135
410400,349.63431311115335
410400,349.63431311115335
412473.60000000003,350.83238763465175
415152,352.8411174344067
417830.4,355.30307576832257
420508.8,358.1275661955766
423187.2,361.2256519658074
425865.60000000003,364.53656929187576
428544,367.8661862432016
431222.4,371.3026973480756
432000,372.3326920277248
432000,372.3326920277248
433900.8,374.90610968622565
436579.2,378.65220648685124
439257.60000000003,382.3814522659687
441936,386.15227102549875
444614.4,390.10549198086244
447292.8,394.28559105649293
449971.2,398.44059119028344
452649.60000000003,402.5748586575713
455328,406.73457401361446
458006.4,410.8454164571662
460684.8,414.83928331916627
460800,414.99996589319875
460800,414.99996589319875
463363.2,418.4689321735968
466041.60000000003,421.0086442109662
468720,422.68109717377376
471398.4,423.83129291429594
474076.8,425.1999853772951
476755.2,426.8503749842346
479433.60000000003,428.89369479891167
482112,431.29480694135736
484790.4,433.8471457215343
487468.8,436.5990538320707
490147.2,439.59349818988056
492825.60000000003,443.105942603971
495504,447.14947851036254
496800,449.2165288996558
496800,449.2165288996558
498182.4,451.2814825878093
500860.8,455.5393709196457
503539.2,459.9251874518397
506217.60000000003,464.40458192081593
508896,469.1306243078947
511574.4,473.74389095853815
514252.80000000005,478.2465062530135
516931.2,482.7337498813431
518400,485.2884602247614
518400,485.2884602247614
519609.60000000003,487.4097564154074
522288,492.0783411067686
524966.4,496.7823092769278
527644.8,501.5575731449497
530323.2000000001,506.40700723848005
533001.6,511.3253088228139
535680,516.299669027086
538358.4,521.3388378002458
541036.8,526.5178663856615
543715.2000000001,531.7258660376037
546393.6,536.6981462879883
547200,538.0007763628435
547200,538.0007763628435
549072,540.7999866980527
551750.4,543.4982133101561
554428.8,545.0061603914156
557107.2000000001,545.6132074812069
558752.5464438106,545.6807863972241
558752.5464438106,545.6807863972241
558756.9129700687,545.680786397224
558756.9129700687,545.680786397224
559785.6,545.680786397224
562464,545.680786397224
565142.4,545.680786397224
567820.8,545.680786397224
570499.2000000001,545.680786397224
573177.6,545.8307207023252
575856,546.6796322620439
578534.4,548.5778471152604
581212.8,551.5909739194914
583200,554.2254590201849
583200,554.2254590201849
583891.2000000001,555.0999991292272
586569.6,558.8589164477728
589248,562.9943147945356
591926.4,567.2754310248205
594604.8,571.8188530437924
597283.2000000001,576.5330275510272
599961.6,581.2679908252494
602640,585.9150698302608
604800,589.7286104208694
604800,589.7286104208694
605318.4,590.6575827149561
607996.8,595.5837339815386
610675.2000000001,600.581874823396
613353.6,605.5487533514778
616032,610.4940608500605
618710.4,615.4246631901722
621388.8,620.3731390178003
624067.2000000001,625.4086779494996
626745.6,630.432610597451
