sep=,
Result 1|time [s] Case 1,Result 1|hea.Q_flow [W] Case 1
0,0
2678.4,6999.993373973276
5356.8,6999.991632000022
8035.200000000001,6999.991631999961
10713.6,6999.99275634141
13392,6999.996572362948
16070.400000000001,4788.485652386181
18748.8,4737.557867363755
21427.2,4747.448872547103
24105.600000000002,4753.756004789735
26784,4654.619714202775
28800,4055.448955352215
28800,4055.448955352215
29462.4,4344.887147964183
32140.800000000003,2900.2785490620486
34819.200000000004,1344.4451578601554
37497.6,122.56417140501472
37829.538499102775,-0.0000041839821398226915
37829.538499102775,-0.0000041839821398226915
37833.11627658897,9.061978937991107e-21
37833.11627658897,9.061978937991107e-21
40176,1.141470548610607e-52
42854.4,7.168228772201606e-75
45532.8,-1.6932188299313637e-105
48211.200000000004,-5.787342684033631e-125
50889.6,507.69693158401236
53568,1155.6100251021016
56246.4,1792.0555691513125
58924.8,2332.5175071126764
61603.200000000004,2708.9896091439086
64281.600000000006,3109.252229247906
64800,3174.065005809827
64800,3174.065005809827
66960,2844.14395927556
69638.40000000001,2971.770961777147
72316.8,2806.676654001747
74995.2,3079.391450335458
77673.6,3012.957100471613
80352,3045.940315668375
83030.40000000001,3222.5499840942584
85708.8,3208.7746068893416
86400,3218.426758357287
86400,3218.426758357287
88387.2,3606.283428327595
91065.6,3775.952844177667
93744,3438.737451824193
96422.40000000001,3569.1020896207488
99100.8,3513.502982545681
101779.2,3274.6031213230817
104457.6,2906.923678046954
107136,2990.016985184619
109814.40000000001,2945.0409913093476
112492.8,2906.6042158811915
115171.2,2916.2906879331563
115200,2914.4428676452544
115200,2914.4428676452544
117849.6,3224.336283802012
120528,2844.1111287961044
123206.40000000001,2552.98777971176
125884.8,2178.810786026776
128563.20000000001,2070.7426915235997
131241.6,1988.1741511248015
133920,1992.590651212137
136598.4,2466.2193382128253
139276.80000000002,2691.4692559219097
141955.2,2668.6436659339556
144633.6,2599.6253170214186
147312,2796.947400183591
149990.4,3225.062097068523
151200,3329.1286920720668
151200,3329.1286920720668
152668.80000000002,2651.8993120431896
155347.2,2498.6562215990125
158025.6,2491.722687803009
160704,2443.2494319117063
163382.4,2388.4467353528985
166060.80000000002,2382.574967873782
168739.2,3058.981746481074
171417.6,3044.819995115647
172800,3024.859295452697
172800,3024.859295452697
174096,3009.4881259845733
176774.4,2985.4172133146553
179452.80000000002,2969.109535277104
182131.2,2839.96999135307
184809.6,2810.3194123717954
187488,3002.8428333974803
190166.4,3231.061086930947
192844.80000000002,3431.6046307005336
195523.2,3613.213871768211
198201.6,3772.5552384443185
200880,3538.0203299300865
201600,3476.834853047788
201600,3476.834853047788
203558.4,4037.1552214119856
206236.80000000002,3791.2636147611697
208915.2,3358.09689899931
211593.6,2975.6093244443555
214272,2704.877743905476
216950.4,2505.521076631569
219628.80000000002,2375.114628691176
222307.2,2380.5181131216295
224985.6,2494.400596527106
227664,2681.8075692175094
230342.4,2904.3804823179353
233020.80000000002,3186.22112102755
235699.2,3380.7114347555707
237600,3477.657840798472
237600,3477.657840798472
238377.6,2934.915220704642
241056,3088.043314540807
243734.4,3194.4947588403456
246412.80000000002,3266.8017491403857
249091.2,3315.8355182730083
251769.6,3348.944344564831
254448,3371.438832307118
257126.40000000002,3386.5805617917104
259200,3394.75686416648
259200,3394.75686416648
259804.80000000002,3396.76056047105
262483.2,3403.868233060932
265161.60000000003,3408.7097372438884
267840,3411.981379461049
270518.4,3420.8883805239307
273196.8,3559.9444118205524
275875.2,3546.74760291226
278553.60000000003,3533.4514305604166
281232,3520.8836968565024
283910.4,3383.246953068613
286588.8,3313.1243155026377
288000,3205.7184547752477
288000,3205.7184547752477
289267.2,3633.8538891861804
291945.60000000003,3285.128430172245
294624,2968.214168555195
297302.4,2748.016107208542
299980.8,2554.3019293371176
302659.2,2344.9005000782977
305337.60000000003,2213.0814414668403
308016,2243.3279637946716
310694.4,2385.808018814505
313372.8,2628.965050356238
316051.2,2779.5068355200424
318729.60000000003,3261.543586388488
321408,3726.5327834262935
324000,4000.02611190208
324000,4000.02611190208
324086.4,3708.0978411826222
326764.8,3719.020957809978
329443.2,3858.523485147993
332121.60000000003,3756.281479056177
334800,3623.029812756923
337478.4,3751.4073494364557
340156.8,3989.04070279586
342835.2,4203.0825265605845
345513.60000000003,4394.195843535949
345600,4400.061204710123
345600,4400.061204710123
348192,4361.774849191251
350870.4,4208.533515408442
353548.8,4104.839572634281
356227.2,4238.514248438697
358905.60000000003,4534.33838920269
361584,5105.10635791864
364262.4,5695.625918454455
366940.8,5992.605818913198
369619.2,6025.526728365819
372297.60000000003,5586.110504008498
374400,4745.050504004451
374400,4745.050504004451
374976,5145.49021774279
377654.4,3866.336519796107
380332.8,2080.830029039616
383011.2,564.1105077971349
384260.6017558927,-0.000004183984760461201
384260.6017558927,-0.000004183984760461201
384264.0212326832,8.970705987457918e-17
384264.0212326832,8.970705987457918e-17
385689.60000000003,-1.7989117474426329e-47
388368,-1.8582226400212856e-55
391046.4,1.0080989637522468e-66
393724.8,-1.155558679899524e-79
396403.2,-2.2006891028393117e-108
399081.60000000003,-1.5696714913381163e-112
401760,-9.915986363091979e-128
404438.4,-6.117787646898038e-143
407116.8,1014.1405269343835
409795.2,2136.055821404018
410400,2336.8169755201043
410400,2336.8169755201043
412473.60000000003,2373.8620499784006
415152,3009.8654025011283
417830.4,3580.460581781458
420508.8,3994.852714200093
423187.2,4321.342485261824
425865.60000000003,4520.6280117662045
428544,4493.279702519757
431222.4,4736.514567255627
432000,4800.05902886321
432000,4800.05902886321
433900.8,4945.883358324887
436579.2,5081.734061070553
439257.60000000003,4979.9246100632245
441936,5173.965812197392
444614.4,5488.727800051331
447292.8,5657.233649067135
449971.2,5530.517991253449
452649.60000000003,5589.027092645416
455328,5567.867732005593
458006.4,5484.677374015178
460684.8,5046.3774985771015
460800,4996.251350864607
460800,4996.251350864607
463363.2,4117.7316812133195
466041.60000000003,2782.6774657319556
468720,1770.7522315697631
